customer_id,gender,age,city,region,signup_date,preferred_device,loyalty_tier,email_opt_in,income_band,total_leads,converted_leads,avg_lead_score,total_acquisition_cost,total_sessions,avg_pages_viewed,avg_time_on_site,total_add_to_cart,total_checkout_started,avg_engagement_score,total_orders,total_revenue,total_units,total_returned,last_order_date,LCR,CPA,AOV,return_rate,CLV_proxy,recency_days,RFM_Tier,Segment,Segment_Name
C100000,male,31.0,Lagos,south west,2024-10-10,desktop,bronze,False,Low,2.0,1.0,19.5,22.95,10,5.5,203.5,3,0,0.85,2.0,70.38,5.0,0.0,2025-04-10,0.5,22.95,35.19,0.0,70.38,265.0,At Risk,1,Core Buyers
C100001,female,52.0,Kaduna,north west,2025-11-20,tablet,bronze,False,Low,2.0,0.0,13.5,15.53,5,5.4,271.4,3,1,2.34,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,No Orders,2,Dormant / At Risk
C100002,female,32.0,Port Harcourt,south south,2025-01-03,mobile,bronze,False,Upper-Middle,1.0,0.0,50.0,14.53,6,5.666666666666667,325.1666666666667,3,1,1.7333333333333334,2.0,128.33,6.0,0.0,2025-10-23,0.0,,64.165,0.0,128.33,69.0,Champions,1,Core Buyers
C100003,female,37.0,Kaduna,north west,2025-10-11,mobile,bronze,True,Middle,3.0,1.0,22.666666666666668,47.68,5,7.4,131.6,3,0,1.7399999999999998,0.0,0.0,0.0,0.0,,0.3333333333333333,47.68,,,0.0,,No Orders,2,Dormant / At Risk
C100004,male,24.0,Calabar,south south,2024-02-21,mobile,bronze,True,Middle,2.0,0.0,23.5,30.95,4,4.75,139.25,3,0,1.725,2.0,38.03,5.0,0.0,2025-12-01,0.0,,19.015,0.0,38.03,30.0,Average,2,Dormant / At Risk
C100005,male,45.0,Ibadan,south west,2024-04-26,mobile,bronze,False,Middle,1.0,1.0,58.0,11.98,8,6.125,293.25,2,2,1.4875,1.0,53.94,4.0,0.0,2025-01-29,1.0,11.98,53.94,0.0,53.94,336.0,Lost Causes,2,Dormant / At Risk
C100006,female,25.0,Ibadan,south west,2025-06-14,tablet,bronze,False,Low,4.0,0.0,22.0,65.12,3,6.333333333333333,217.33333333333337,3,2,4.633333333333334,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,No Orders,2,Dormant / At Risk
C100007,female,27.0,Lagos,south west,2025-11-04,mobile,silver,True,Middle,4.0,3.0,56.25,60.09,9,4.777777777777778,169.88888888888889,4,1,1.2555555555555555,1.0,46.86,2.0,0.0,2025-05-12,0.75,20.03,46.86,0.0,46.86,233.0,Lost Causes,0,Engaged Browsers
C100008,female,28.0,Abuja,north central,2025-03-17,tablet,bronze,False,Upper-Middle,4.0,1.0,33.5,58.81999999999999,9,4.777777777777778,181.55555555555551,1,1,0.5888888888888889,0.0,0.0,0.0,0.0,,0.25,58.81999999999999,,,0.0,,No Orders,2,Dormant / At Risk
C100009,male,25.0,Ibadan,south west,2024-07-31,mobile,silver,True,Lower-Middle,4.0,0.0,39.0,46.76,7,6.571428571428571,254.28571428571428,3,3,2.5142857142857147,2.0,172.32999999999998,10.0,0.0,2025-04-06,0.0,,86.16499999999999,0.0,172.32999999999998,269.0,At Risk,1,Core Buyers
C100010,female,21.0,Kano,north west,2024-04-17,mobile,platinum,True,Upper-Middle,3.0,1.0,57.333333333333336,44.47,3,7.0,306.3333333333333,2,0,1.3666666666666665,5.0,132.0,7.0,0.0,2025-09-10,0.3333333333333333,44.47,26.4,0.0,132.0,112.0,Average,1,Core Buyers
C100011,female,31.0,Enugu,south east,2024-03-09,desktop,gold,True,Upper-Middle,1.0,1.0,54.0,8.2,9,5.444444444444445,274.625,4,1,1.5444444444444445,2.0,91.41,6.0,1.0,2025-08-10,1.0,8.2,45.705,0.5,91.41,143.0,Average,1,Core Buyers
C100012,male,29.0,Port Harcourt,south south,2024-10-13,tablet,gold,False,Middle,1.0,0.0,57.0,2.34,2,4.5,223.5,0,0,0.45,2.0,85.84,7.0,0.0,2025-06-17,0.0,,42.92,0.0,85.84,197.0,At Risk,2,Dormant / At Risk
C100013,female,32.0,Lagos,south west,2024-11-20,mobile,bronze,True,Lower-Middle,3.0,1.0,36.333333333333336,30.66,6,5.666666666666667,203.66666666666663,0,0,0.3999999999999999,0.0,0.0,0.0,0.0,,0.3333333333333333,30.66,,,0.0,,No Orders,2,Dormant / At Risk
C100014,female,25.0,Abuja,north central,2024-04-16,mobile,bronze,False,Middle,3.0,0.0,28.666666666666668,46.86,11,4.363636363636363,223.9090909090909,4,0,0.8,1.0,38.77,3.0,0.0,2025-12-15,0.0,,38.77,0.0,38.77,16.0,New Customers,2,Dormant / At Risk
C100015,female,25.0,Jos,north central,2025-10-04,mobile,bronze,True,Middle,2.0,0.0,30.0,33.01,6,6.5,168.83333333333334,1,1,1.3166666666666669,1.0,88.6,4.0,0.0,2025-11-27,0.0,,88.6,0.0,88.6,34.0,New Customers,2,Dormant / At Risk
C100016,female,30.0,Lagos,south west,2024-09-06,mobile,bronze,False,Lower-Middle,0.0,0.0,,0.0,4,5.5,248.75,1,0,0.8,0.0,0.0,0.0,0.0,,,,,,0.0,,No Orders,2,Dormant / At Risk
C100017,male,33.0,Ibadan,south west,2025-07-05,desktop,gold,False,Upper-Middle,1.0,0.0,45.0,15.93,7,6.0,305.42857142857144,3,0,1.0285714285714285,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,No Orders,2,Dormant / At Risk
C100018,male,,Jos,north central,2024-11-25,mobile,silver,True,Middle,6.0,1.0,28.833333333333332,63.2,8,5.5,223.5,4,2,2.0500000000000003,1.0,17.95,1.0,0.0,2025-09-18,0.1666666666666666,63.2,17.95,0.0,17.95,104.0,Average,0,Engaged Browsers
C100019,female,33.0,Lagos,south west,2024-05-26,mobile,bronze,True,Middle,4.0,2.0,37.666666666666664,76.78,9,5.777777777777778,290.8888888888889,3,2,1.6888888888888889,2.0,61.03,4.0,0.0,2025-08-31,0.5,38.39,30.515,0.0,61.03,122.0,Average,1,Core Buyers
C100020,female,31.0,Benin City,south south,2024-11-30,mobile,silver,True,Low,2.0,0.0,25.0,23.18,11,5.181818181818182,221.63636363636363,5,4,2.1545454545454543,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,No Orders,0,Engaged Browsers
C100021,male,42.0,Calabar,south south,2025-09-12,mobile,gold,True,Upper-Middle,2.0,1.0,57.5,38.099999999999994,4,5.25,219.75,1,0,0.775,0.0,0.0,0.0,0.0,,0.5,38.099999999999994,,,0.0,,No Orders,2,Dormant / At Risk
C100022,male,39.0,Abuja,north central,2024-09-11,desktop,silver,True,Middle,6.0,2.0,44.5,93.97,8,4.375,228.25,3,3,2.0625,1.0,58.3,3.0,0.0,2025-06-24,0.3333333333333333,46.985,58.3,0.0,58.3,190.0,Lost Causes,0,Engaged Browsers
C100023,male,38.0,Benin City,south south,2025-01-10,desktop,bronze,False,Middle,0.0,0.0,,0.0,3,4.0,202.0,0,0,0.0666666666666666,0.0,0.0,0.0,0.0,,,,,,0.0,,No Orders,2,Dormant / At Risk
C100024,female,42.0,Jos,north central,2025-07-13,desktop,bronze,True,Middle,4.0,1.0,28.25,33.77,12,6.363636363636363,216.41666666666663,5,3,2.0833333333333335,0.0,0.0,0.0,0.0,,0.25,33.77,,,0.0,,No Orders,0,Engaged Browsers
C100025,male,28.0,Lagos,south west,2025-09-08,desktop,silver,True,Middle,4.0,3.0,43.0,59.36000000000001,3,5.333333333333333,100.33333333333331,1,0,0.8666666666666667,0.0,0.0,0.0,0.0,,0.75,19.78666666666667,,,0.0,,No Orders,2,Dormant / At Risk
C100026,female,45.0,Ibadan,south west,2024-05-23,mobile,silver,True,High,1.0,0.0,59.0,2.12,10,5.1,157.3,4,2,1.61,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,No Orders,0,Engaged Browsers
C100027,male,35.0,Kaduna,north west,2025-10-31,tablet,bronze,True,Lower-Middle,3.0,0.0,30.0,39.510000000000005,10,7.1,259.9,2,1,1.11,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,No Orders,2,Dormant / At Risk
C100028,female,29.0,Kano,north west,2024-07-14,mobile,bronze,True,Middle,0.0,0.0,,0.0,6,4.0,273.1666666666667,0,0,-0.0999999999999999,3.0,118.43,6.0,0.0,2025-12-25,,,39.47666666666667,0.0,118.43,6.0,Champions,1,Core Buyers
C100029,male,37.0,Ibadan,south west,2025-11-30,mobile,bronze,True,Low,0.0,0.0,,0.0,7,5.571428571428571,151.71428571428572,3,3,2.414285714285714,0.0,0.0,0.0,0.0,,,,,,0.0,,No Orders,0,Engaged Browsers
C100030,female,24.0,Lagos,south west,2025-01-08,mobile,bronze,True,Low,1.0,0.0,46.0,3.0,8,5.0,252.625,2,1,1.0,2.0,58.03,6.0,0.0,2025-11-07,0.0,,29.015,0.0,58.03,54.0,Champions,1,Core Buyers
C100031,male,49.0,Ibadan,south west,2024-03-11,mobile,gold,True,Middle,2.0,2.0,39.0,13.22,4,5.75,58.25,2,0,0.8250000000000001,2.0,66.38,6.0,0.0,2025-08-17,1.0,6.609999999999999,33.19,0.0,66.38,136.0,Average,2,Dormant / At Risk
C100032,male,35.0,Port Harcourt,south south,2025-11-24,mobile,silver,True,Middle,5.0,3.0,37.8,84.42,9,5.0,238.55555555555551,4,1,1.5,0.0,0.0,0.0,0.0,,0.6,28.14,,,0.0,,No Orders,0,Engaged Browsers
C100033,female,20.0,Ibadan,south west,2025-11-08,mobile,bronze,True,Lower-Middle,2.0,0.0,39.0,17.439999999999998,10,6.2,190.6,2,1,1.2200000000000002,1.0,45.52,2.0,1.0,2025-11-19,0.0,,45.52,1.0,45.52,42.0,New Customers,2,Dormant / At Risk
C100034,male,23.0,Port Harcourt,south south,2024-02-07,tab,gold,True,Low,2.0,0.0,39.5,32.06,2,6.0,323.5,1,0,1.1,2.0,186.24,9.0,0.0,2025-11-02,0.0,,93.12,0.0,186.24,59.0,Champions,2,Dormant / At Risk
C100035,male,,Enugu,south east,2025-09-23,mobile,bronze,False,Lower-Middle,1.0,0.0,26.0,13.03,5,6.0,182.2,1,1,1.2,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,No Orders,2,Dormant / At Risk
C100036,male,28.0,Kaduna,north west,2024-07-12,mobile,silver,True,Lower-Middle,1.0,0.0,36.0,20.0,10,5.0,253.7,3,1,1.1,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,No Orders,2,Dormant / At Risk
C100037,male,37.0,Abuja,north central,2024-10-22,desktop,gold,True,Upper-Middle,1.0,0.0,85.0,10.24,8,5.75,220.375,3,1,1.325,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,No Orders,2,Dormant / At Risk
C100038,male,41.0,Benin City,south south,2025-01-05,mobile,silver,True,High,1.0,1.0,68.0,17.21,9,5.555555555555555,246.33333333333337,2,1,0.8888888888888888,0.0,0.0,0.0,0.0,,1.0,17.21,,,0.0,,No Orders,2,Dormant / At Risk
C100039,male,42.0,Abuja,north central,2025-01-06,tablet,silver,True,Upper-Middle,1.0,0.0,39.0,17.93,5,5.8,211.0,1,1,1.38,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,No Orders,2,Dormant / At Risk
C100040,female,38.0,Ibadan,south west,2025-09-12,mobile,gold,True,Middle,2.0,0.0,42.5,24.119999999999997,10,6.7,235.2,3,2,1.57,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,No Orders,0,Engaged Browsers
C100041,male,25.0,Port Harcourt,south south,2025-02-25,mobile,bronze,False,Lower-Middle,1.0,0.0,47.0,13.92,9,5.222222222222222,263.125,5,3,2.3,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,No Orders,0,Engaged Browsers
C100042,male,43.0,Kano,north west,2025-06-11,mobile,bronze,True,Middle,1.0,0.0,22.0,12.59,3,9.666666666666666,196.33333333333337,2,1,3.3000000000000003,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,No Orders,2,Dormant / At Risk
C100043,male,44.0,Port Harcourt,south south,2024-10-23,desktop,bronze,False,Upper-Middle,1.0,0.0,27.0,9.06,12,5.166666666666667,257.90909090909093,7,5,2.6,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,No Orders,0,Engaged Browsers
